TOTALBTUSPH,BTUNG,CUFEETNG,BTUNGSPH,CUFEETNGSPH,TOTALDOLSPH,BTUELAHUHEAT,KWHAHUHEAT,DOLELAHUHEAT,DOLNGSPH,DOLLARNG,CELLAR,TOTROOMS,WINDOWS,TOTALBTUWTH,BASEHEAT,TYPEHUQ,BEDROOMS,STORIES,BASECOOL,BASEFIN,LGTOUTNUM,NUMATTICFAN,NUMWHOLEFAN,ATTIC,SWIMPOOL,STUDIO,SOLAR,H2OHEATAPT,PRKGPLC1,OUTLET,OTHROOMS,LGTOUTCNTL,ROOFTYPE,BACKUP,LGTINNUM,DOLLAREL,KOWNRENT,FUELHEAT,UGWARM,DRYRUSE,KWH,BTUEL,WASHLOAD,CUFEETNGWTH,KWHLGT,BTUELLGT,BTUNGWTH,BENOTHER,DRYER,CWASHER,DOLELLGT,SIZRFRI2,TOTALBTUCDR,OUTGRILL,TOPFRONT,TOTALBTUNEC,EELIGHTS,NUMFRIG,REBATEAPP,RECYCAPP,TAXCREDITAPP,RNSETEMP,FREEAUDIT,KWHRFG,BTUELRFG,TOTALDOLNEC,WASHTEMP,WHEATSIZ,BTUELCW,KWHCW,KWHNEC,BTUELNEC,DOLELCW,LOCRFRI2,BTUELRFG2,KWHRFG2,DOLELRFG2,ATTCHEAT,TYPERFR2,BTUELTVREL,KWHTVREL,GARGHEAT,DOLELCFAN,BTUELCFAN,KWHCFAN,ATTCCOOL,GARGCOOL,DOLELNEC,TVCOLOR,LGTIN4,SIZEOFGARAGE,ZATTICFIN,MORETHAN1H2O,ATTICFIN,MONEYPY,DOLELRFG,BTUELHUM,KWHHUM,DOLELHUM,TOTALBTUCOK,NCOMBATH,DOLNGWTH,ZNGAMOUNT,PERIODNG,DOLELTVREL,BTUELDWH,KWHDWH,NGPAY,ELWATER,USENG,AGERFRI2,REGIONC,DIVISION,DOLELDWH,SWAMPCOL,FUELH2O,NHAFBATH,PROTHERM,DWASHUSE,SIZFREEZ,TOTALDOLCDR,NUMCFAN,THERMAIN,KWHFRZ,BTUELFRZ,NHSLDMEM,NUMFREEZ,DOLELFRZ,ELPERIPH,UPRTFRZR,USEMOISTURE,NUMADULT,TVSIZE2,DRYRFUEL,KWHAHUCOL,BTUELAHUCOL,ELWARM,DOLELAHUCOL,NOTMOIST,DOLELCOL,UGOTH,BTUELCOL,KWHCOL,DOLELDHUM,USENOTMOIST,KWHDHUM,BTUELDHUM,EQUIPM,EQUIPAUX,SIZRFRI1,UGWATER,TVONWE2,MOISTURE,TVONWD2,DWCYCLE,OCCUPYYRANGE,COMBODVR,ESFREEZE,ICE,BTUNGCDR,CUFEETNGCDR,ESDRYER,KWHCDR,BTUELCDR,DOLELCDR,TOTALDOLCOK,ESCWASH,GALLONFOSPH,BTUFOSPH,DOLFOSPH,GALLONFO,BTUFO,BTUELWTH,KWHWTH,DOLELWTH,CUFEETNGCOK,LGTINCNTL,DOLLARFO,DESKTOP,STOVENFUEL,BTUNGCOK,NUMTABLET,NUMSMPHONE,EQUIPAUXTYPE,TVTYPE2,SEPOVENUSE,OVEN,KWHRFG1,BTUELRFG1,TEMPHOME,INWIRELESS,TEMPGONE,DNTHEAT,HEATHOME,TOTALDOLPL,TEMPNITE,TOTALBTUPL,POOL,DOLELPLPMP,UGCOOK,KWHPLPMP,BTUELPLPMP,DOLNGCDR,MONPOOL,PROTHERMAC,OVENFUEL,FUELAUX,AGEFRZR,SMARTTHERM,OUTGRILLFUEL,HIGHCEIL,KWHTV2,BTUELTV2,ESDISHW,DVD,UGASHERE,DOLELTV2,TVSIZE1,INTERNET,CABLESAT,DISHWASH,DOLNGCOK,KWHMICRO,BTUELMICRO,NUMLAPTOP,USECENAC,THERMAINAC,SEPCOOKTUSE,FOWARM,CENACHP,AGECDRYER,USEFO,NUMCHILD,GALLONLP,BTULP,FOPAY,BTUELSPH,KWHSPH,ELPAY,DOLELSPH,EQUIPMUSE,TEMPHOMEAC,COFFEE,TEMPNITEAC,WINFRAME,TOTALDOLWTH,TYPEGLASS,STOVEN,TEMPGONEAC,PLAYSTA,ELCOOL,AIRCOND,DOLELRFG1,DOLELMICRO,ZFOAMOUNT,ESWATER,BTULPSPH,GALLONLPSPH,TVAUDIOSYS,RECBATH,DOLLARLP,MICRO,AMTMICRO,STOVE,ESFRIG,MONTUB,COOLTYPE,CUFEETNGNEC,BTUNGNEC,AUDIT,DOLLPSPH,ESLIGHT,BTUELHTBPMP,KWHHTBPMP,PERIODEL,TOTALBTUHTB,PERIODFO,AGECENAC,FUELTUB,AGECWASH,ESWIN,DOLELHTBPMP,AUDITCHG,ZELAMOUNT,LGTINLED,BTUNGPLHEAT,CUFEETNGPLHEAT,DOLNGNEC,FUELH2O2,FUELPOOL,OVENUSE,HHAGE,TOTALDOLHTB,KWHTV1,BTUELTV1,FOWATER,WALLTYPE,GALLONFOWTH,BTUFOWTH,STOVEFUEL,SDESCENT,DOLFOWTH,BTUELCOK,KWHCOK,DOLNGPLHEAT,LGTINCFL,TOAST,EQUIPAGE,TVONWE1,DOLELCOK,DOLELTV1,INTSTREAM,EDUCATION,BTUELHTBHEAT,KWHHTBHEAT,ATHOME,HOUSEHOLDER_RACE,DOLELHTBHEAT,YEARMADERANGE,VCR,ELFOOD,LPWARM,GALLONLPNEC,BTULPNEC,LGTINCAN,DOLLPNEC,TVONWD1,SEPDVR,CROCKPOT,AGEDW,CUFEETNGHTBHEAT,BTUNGHTBHEAT,LPOTHER,TYPERFR1,BTULPWTH,GALLONLPWTH,DOLNGHTBHEAT,LPGPAY,USELP,ZLPAMOUNT,DOLLPWTH,SMARTMETER,SCALEG,BTULPCDR,GALLONLPCDR,PERIODLP,DOLLPCDR,ADQINSUL,COOKTUSE,LPWATER,NUMMEAL,DRAFTY,AGERFRI1,WHEATAGE,TVTYPE1,BTULPCOK,GALLONLPCOK,INTDATA,DOLLPCOK,LPCOOK,HHSEX,APPOTHER,DUALOVENFUEL,ENERGYASST15,SCALEB,ENERGYASST12,DUALCOOKTFUEL,ENERGYASST11,ENERGYASST,ENERGYASSTOTH,INTDATAACC,ENERGYASST14,ENERGYASST13,FOODPROC,DOLFONEC,BTUFONEC,GALLONFONEC,USEWOOD,WDWARM,NUMFLOORFAN,EMPLOYHH,NUMBERAC,RICECOOK,TOASTOVN,NOHEATBULK,NOHEATNG,COLDMA,CELLPHONE,USEWWAC,KWHEVAPCOL,BTUELEVAPCOL,DOLELEVAPCOL,NOHEATDAYS,WWACAGE,NOACHELP,SOLOTHER,NOACEL,NOACBROKE,DOOR1SUM,FOOTHER,ZHHSEX,HOTMA,USEEL,ELOTHER,USESOLAR,WDWATER,ALTFUELPEV,NOHEATBROKE,BLENDER,NOHEATHELP,NOHEATEL,SCALEE,PAYHELP,NOACDAYS,SOLWATER
0.709848004847368,0.455074184927321,0.453344975253735,0.43962160142448,0.438571451962908,0.438043137667971,0.429414071915524,0.429414059472923,0.402546858948815,0.392041979203396,0.383025850618293,0.302323343341107,0.297592490136939,0.291170588114561,0.260027532461144,0.254370439297007,0.251295149005033,0.251006887993976,0.250567461178526,0.24538762559504,0.245253935854794,0.244334661862137,0.230042527443189,0.225996658024029,0.22570772635788,0.225284427285879,0.223235272170473,0.222870068912506,0.219910615096465,0.217478450479115,0.203923011324242,0.202338695825264,0.195442586479721,0.189153137752815,0.186655867805519,0.181453385231056,0.172698972041857,0.163091799348753,0.159308886745957,0.158966645497186,0.150818712651523,0.150182295069538,0.150182049322193,0.147450455928635,0.146774287676271,0.146696105684926,0.146696105330097,0.145897818015706,0.143793413624262,0.137908615780338,0.137623509030689,0.137030941495579,0.136519926057118,0.135753436059569,0.135704548322358,0.135347596868023,0.133626149214352,0.132864073864096,0.132784476397835,0.13226619934786,0.131822128879263,0.131551996743014,0.130140979339997,0.126948715970615,0.126558471746278,0.126558471735354,0.1237491366764,0.121784485871722,0.119879691892625,0.116524352487621,0.116524292522468,0.116146529411338,0.116146529390745,0.114315092761201,0.113009919284484,0.112285188924814,0.112285184472452,0.111912032522907,0.110448296243057,0.108443198326786,0.10806199315291,0.108061990870708,0.10727306222251,0.106307485065906,0.105831380754741,0.105831374311994,0.105670984381198,0.104383480556059,0.104173774194863,0.103455223733887,0.103193989730594,0.102810165244467,0.102335380731307,0.101776264858262,0.101528252942997,0.099577119214801,0.0967190425045233,0.0959069848718908,0.0959069829216489,0.095715684712847,0.0945131984264391,0.0939099747049184,0.0933520743035557,0.0931944589478222,0.0925525365265694,0.0922379577747811,0.0913242785529072,0.09132427022574,0.0911634682858719,0.090409450751378,0.08978398600604,0.0885337247149921,0.0866673730996147,0.0856091988676083,0.0855146340806151,0.0851670586269824,0.0850163997084475,0.0794900140467296,0.0790307931778938,0.0788377271709639,0.0763255058147797,0.0755508811300001,0.0752014106445077,0.0745499039089158,0.0739282325054685,0.0739282264051263,0.0729816332497224,0.0727428447150294,0.0725753869423239,0.0706265455642603,0.0705678034880926,0.0701413571293352,0.0700324282782699,0.0699560096047049,0.0694475021835242,0.0690147481339009,0.0690147244286288,0.0688570843175253,0.0685665580000504,0.0679203978407944,0.0668218189387959,0.0661908419434593,0.065998084617523,0.0659980836410029,0.0654523568705744,0.0652740187453834,0.0641910330811816,0.0641910323318941,0.0640052743165891,0.0634499156972794,0.0621180529324659,0.0615537894552198,0.0606853122357125,0.0603025969817774,0.0585053275963769,0.0575183382038989,0.0574884832130608,0.0562478810571908,0.0562216953886241,0.0548601061073761,0.0546424675920724,0.0544839194746772,0.0543829692771859,0.0542828485680518,0.0542828456448579,0.0528300213980829,0.0528263430765647,0.0527077613178878,0.0526556318455221,0.0526543260351011,0.0519219583430336,0.0517805444950958,0.0517717984903219,0.051564514509808,0.0515645144664708,0.0515207161786288,0.051361325985496,0.050978444799697,0.0508630970311627,0.0507645642604809,0.0506731830280917,0.0506496733044356,0.0504963880057255,0.0503829411840992,0.0489228969749591,0.0486585172969911,0.0457474200292853,0.045318005689325,0.0431837277564398,0.0431837195015698,0.0430040721018035,0.0423974606657382,0.0421529858749615,0.041460731799101,0.0413700299522637,0.0407794227796628,0.0406795472247442,0.0405334342053272,0.0403702477237465,0.0401825749199799,0.0401428758953206,0.0396427254704833,0.0396427249507244,0.0387101755071069,0.0386675715967975,0.0385938808308943,0.038284964127119,0.0378111688059338,0.0374511984915758,0.0374434500599545,0.0371493756939344,0.0357092150328556,0.0349443959587069,0.0349443928521314,0.0347482262943369,0.0344596697612112,0.0332971003431616,0.0322604485475311,0.0318366936856955,0.0309066563042861,0.0303528838882699,0.0303212003628234,0.0299459389830648,0.0295981284670937,0.0295981251142302,0.0295003069501315,0.0289558808159053,0.0287171436294949,0.027578506933173,0.0272903922156833,0.0269982904266197,0.0260302809681099,0.0258567338789771,0.0258507342031188,0.0257937595418835,0.0257937575183854,0.0257899661123553,0.0255383453480458,0.0255383451919046,0.0252486024412576,0.0250290912272319,0.0249878889011566,0.0248618316375185,0.0248437743612508,0.024603428234588,0.0243475424258163,0.0242622012576171,0.0241942743150631,0.0240209595853462,0.0239908677552074,0.0239505884333974,0.0238087714151683,0.0238087714151683,0.0237067855212945,0.023384811025083,0.0232773600151551,0.0231362055353509,0.0230019650286005,0.0230019646448361,0.0229617208901386,0.0226544848649209,0.0224795059839498,0.0222347579051341,0.0219716380825644,0.0219382580417011,0.0216499487000957,0.0216263433801835,0.0213380390748958,0.0211490560819817,0.0211081188437693,0.0206978157900888,0.0205924536338868,0.0205736989233902,0.020261816386093,0.0202618148115912,0.0201203078782227,0.0197707155025552,0.0193553643071429,0.0193101991747111,0.0189099094719966,0.0186757850955191,0.0185864861758178,0.0185228650851383,0.0184324100854313,0.0180973985213928,0.017761330462955,0.0175825254549405,0.0175750597701638,0.0172027835865154,0.0171327033798056,0.0167745506300095,0.0167723697484236,0.0164514019528869,0.016335808868175,0.0159657813784448,0.0159657808503875,0.0159541041137476,0.015787991762663,0.0156810480687121,0.0156713225522084,0.0155275119509277,0.0154878448061967,0.0150017138773678,0.0149796475568267,0.0149796458472994,0.0147426513598556,0.0137581291881326,0.0135281849591117,0.013507797466065,0.0132501158290313,0.0130168016104414,0.012534594201471,0.012513731028459,0.0119835223034016,0.0116916300952545,0.0116916300573549,0.0115122315126436,0.0112602856564174,0.0108055825007956,0.0107644074717205,0.0104720993961354,0.0104662460258135,0.0101048254672411,0.00916869240813134,0.00916869218605859,0.00908744820590075,0.00906901081597992,0.00881661936000958,0.00822218924531906,0.00791173322139551,0.00785898084393088,0.00759758585636712,0.00759039483313042,0.00712164156186741,0.00703613611889736,0.00672559213961264,0.00672559206212554,0.0064533298147244,0.0063352390784081,0.00631726440643587,0.00569167286414083,0.00551504937191619,0.00535766071803011,0.00528404890622217,0.00475432184878195,0.00475431868258885,0.00457948426374625,0.00456715746119757,0.00449206783412542,0.00429917690689328,0.00407634969959053,0.00405122127476105,0.00354036441139405,0.00350773086857659,0.00323654270362326,0.0031838881141877,0.00309281411295629,0.00309280553180673,0.00292766292859032,0.00278057316282596,0.00268929639078304,0.00267348422282554,0.0025908052138714,0.00248385136929301,0.00240904079579713,0.00227689266664924,0.00220453676854195,0.00218742179466339,0.00216149518496569,0.00212568889473534,0.00211635254641913,0.0021149940552092,0.00208039895406451,0.00205428686946505,0.00193569949927537,0.00193261753944175,0.00191146892465141,0.00191032064661777,0.00188404191211169,0.00188404191211169,0.00168567070583379,0.0016297955524145,0.00157566126030367,0.00148307615475822,0.00126210052801141,0.00124379685860238,0.000902874161609171,0.000735994483783149,0.000690504625223582,0.000575284876738248,0.00056408471466152,0.000564084639954315,0.000557423430100953,0.000447922521035954,0.000411548408537334,0.000360377464133513,0.000346737872437546,0.000294869703068559,0.000280648982040396,0.000271695531417813,0.000240228149726299,0.000240032212023914,0.00034345174792959,NaN,NaN,0.000217367335658208,0.000211584866784149,0.000143956967207775,8.40464127111879e-05,0.000165298321365914,2.28121054929453e-05,7.90664650662052e-05,-1.90524026142816e-05,5.51365039315746e-05,-4.37941793936652e-05,-8.08987280803913e-05
1.39193935911625e+16,1.18210573956215e+16,118718254037860,8.67762820036677e+15,87227787525376.4,112267750672849,190603303372880,55862631571537.2,7055484398420.56,76222017729798.8,100222546227876,262266150376.288,406868891120.404,2113126413674.32,1.3369388502753e+15,254340770944.218,201141668977.563,169295353610.481,1603785263488.53,209915255296.105,239555491389.891,260764051062.023,168101730670.029,163483195199.175,208951478165.94,141725737636.846,137440883254.1,136430542478.703,222118069444.413,207587646422.658,148897544924.794,191225175979.113,165806656462.674,337043329476.708,96992192213.1336,129256185783.681,78370180399190.3,65381034921.8056,272835304751.568,74395401399.0775,335833944833.344,597662512805525,2.03922114274127e+15,316043571977.754,10930566323283.4,84136206711838.9,287072736006022,1.0830119196332e+15,121387918107.78,35499071453.835,32305014434.5359,10455996617702.1,234363514930.39,148395380120010,60180621022.7778,106878188622.09,489348487122707,121631914209.578,58362709617.0503,121144497102.657,121999207238.191,122069442553.889,157936262117.311,119173989093.234,32088096791314,109484585030180,13770427130437.4,138021106769.873,104721596489.634,10202862805544.6,2990286958695.43,86903159329570.5,296513578811488,386649006413.084,186293735584.358,63675458975838.2,18662208947364.3,2384536354568.82,98612608625.8505,738993748533.206,114004753408138,33412881394040,99275824340.25,2218508096965.83,60047937285917.7,17599042460692.7,91996388018.2532,94341785708.0682,10272872745689.5,81949374379.6075,393553188112.682,175852990213.169,92063087021.843,36706565153.1996,93058759821.737,150532353773.727,3445808469548.51,25276576384897.3,7408140741804.83,980500594712.041,83346530055887.8,48868290041.3268,7545348059751.64,87959273845.3654,148134239054.274,3941237077224.28,15223920766293.9,4461875590463.13,125384842559.889,42102324362.6721,40922083695.7485,777501725624.916,62349025213.4893,170601727765.592,550762909433.836,79837101553.2165,151420084974.497,31371518314.0658,55167054172.1271,156243069965.547,139526207519.431,3051040509524.83,101758726883.308,23208193391.1759,13772296649779.2,46991072424976.3,64646715630.8353,31062736551.3944,1698683616722.18,33684737493.4368,98031755631.2895,110403659626.793,35739622554.6683,101673801648.185,144138012606.82,4498273064881.04,15348102415479.2,32215384457.4374,562515054155.828,15609850651.0665,9661200300510.32,18901950327.9516,260367205213581,76309261851125.8,1445880272292.17,89242299520.8556,10625532736338.3,36254317243907.4,61840511055.6497,30091404969.8481,30361362834.559,28770712789.5367,96332621517.7682,18320128272.0816,88751353298.8563,100893782050.106,51472316329.8281,36672798813.3408,55588669697.249,24406340732.0546,20693926417711.4,205893277772.626,97878292653.2257,18618574606316.9,63526573318747.7,2292850143487.68,828328229388.227,98213407587.8877,1673030943499.23,229662052473681,4032599207682.85,1900960839553.96,260919963424316,227544193216733,66689388368915.4,7942914835229.58,475289952473.926,20631455207.5205,4586236867189.8,24737117119.9893,95805814449.7174,47067379024862.2,35901661182.4618,42200008483.101,99167811390.0164,80243198802.0129,41699623490.48,10851024507.4133,6112963763042.03,20857428190420.6,264012581836.519,29406934351.2651,267730180334.039,10396665177.2851,3349623963.46452,895462127239.48,255198182125.444,25831205953976.2,11110629492.1784,828215426684.821,16408928428.9234,6220210385464.81,21223357606008.2,156337874605.137,28640255909.4937,42807950153.2553,50742515455.1985,100051175331.915,285997605616.989,31110358632.107,244411980433.533,16594848106.4522,1859375196393.3,6344187658796.35,57147042612.5231,20582470302.6486,13294350551.1368,233284627776.777,19133121880.4447,6971838351.74967,22670255503.4331,11651020539.2324,322320287374.858,1598960623511.66,5455652782350.41,19550247887.5895,45219607157.3836,35431136069.9726,47785238389.4333,2421087683.18691,24510771747.6014,324408998571.066,2370416837.24203,16651171851.2883,1133063004375.03,103486412986880,7126219427.74929,131338142335675,38493007431669,3568880964.0061,4324228818439.34,21894207214.1934,387399289450.015,10577105911.6008,379283636332.246,14943646657.2677,2670306200927.92,10746888310.9238,3918367659.24252,383993457875.43,13039402581.4208,5027096054.53111,5027096054.53111,514462650283.577,175592693387.674,4823988018.32221,54691453070.0592,63509533249462.3,695359796058.478,8678587164.52758,3025754261.83168,1895381720015.77,2244096749.04297,122026243314.121,5233529267.50574,51235246731.7455,17493975106.138,15933429604.8535,227253676380.442,22824520098305.8,32948303163.9956,1165546185539.67,48616719537.9871,1703914963980.3,499388823767.113,14718065662.2616,7682996481745.69,7816483877.67862,258042458254.807,9871476046.01203,214697792940.476,44036315552.5152,58342345575.4229,24493121943.8135,3290134191.87899,23588019062.5554,2992164614158.57,30069253337.4316,220137454017.749,5733010790.34532,3101117163.70001,26468038312.6737,182000367809.648,196211488789.217,1516678907045.42,5174908198441.37,609681605.783871,15263470503.4791,69165847074.2429,9491871065331.93,17436987742.7387,3217090126.5985,164943374443.202,5478351778004.88,1605612829004.4,28683376913.5449,14787137469.2288,5847062981.53422,205644464880.919,10418073061.2508,179099790560.419,162272111164.67,5650025903.59884,9327031994.03344,2769224624826.65,811613323887.089,18018690918.1124,5402864180.8751,91402896686.8374,15845132936.3813,4127228761.99879,4452833004.05054,1161368900.53196,28493655896.5414,2602420680949.75,10154629231.1081,51246176717.8987,6682716332.0457,1347287436.14744,3013377910.8148,88867314619.5845,5602927432.00974,562091338426.015,190696148.626493,25855421565.1201,6490847008153.25,71067666500.5627,5553057699.63075,3226506387.01445,1071202736.40126,2212343041.02619,115427500202.37,18293213971.9945,1726857366.86922,159249748546.482,1743605132.50355,3536921422.46689,3407681865.06211,2346216165.40304,15570762864.2119,274630589.52494,2924124587.73344,1885233246.02391,47412392169.4148,46516597704.7912,2931214243.07227,712015276948.062,7795768529.94815,9025736971.19357,15619040717.6416,252885587.354044,1232904897.64066,479662151.58315,255941075.099891,605621847.554305,1204974099.82758,501882212.984406,103860347.070663,483252396.630402,226571022.490984,459951578.041639,6193615706.53706,511897193.412529,486188742.39187,333311803.364321,2207309783.59918,134442444377.15,980279032.013888,344461026.660317,344461026.660317,1203219323.91073,824366854.08322,1826025679.6036,302209417.367015,431489717.680325,15259219.7867955,7842076.48622934,12845985.7349666,362953094.835005,827704258.302427,26769215522.6754,91336548267.2489,3565432992.04135,645892140.620299,1360477131.56109,71873706.8590888,2331962.05430901,5812842.94613767,23394858.3488997,141457854.294335,273912.280215366,3801295.83984111,4325169.56359316,0,0,2313133.96239465,451104.179227382,2791447.22540838,4160483.08351558,60205743.5413754,3816894.86512462,1863847.29530604,-9170479.97330848,24313209.8550501,-107965711.422581,-305501.742196801
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11022302462516e-16,3.5527136788005e-15,3.99680288865056e-15,7.7715611723761e-15,7.99360577730113e-15,1.82076576038526e-14,1.82076576038526e-14,6.1926019867542e-12,2.85668155797225e-11,1.19866117032075e-10,1.25117471938552e-09,1.95715990303214e-07,2.8738791346683e-07,0.00014217924690052,0.00154637272327451,0.00275569828487821,0.0103782190515189,0.0116839359366763,0.0116839451011448,0.0125262994562783,0.035895093176161,0.0490394992365487,0.0737309907739592,0.0816996240618921,0.117960682499655,0.129642610396659,0.137396039639731,0.167120019479729,0.167317217412086,0.0837131521807268,NaN,NaN,0.191135783871376,0.197530361203601,0.281415386510631,0.367746173884438,0.253209301108251,0.463470439944277,0.37531397446184,0.530521980991967,0.412303362213061,0.569865919455321,0.627476193020084
